run,role,pair,tol,n,boundary_f1,hd95,iou_per_image
busi_split41_aug,baseline,busi_split41_wave,2,130,0.46707103783735754,33.39367821290928,0.6790179153487461
busi_split41_wave,modification,busi_split41_wave,2,130,0.4578019647415227,34.91567090725037,0.6629295635764352
busi_split42_aug,baseline,busi_split42_wave,2,130,0.49462207836271416,33.123943325374825,0.6706243003356775
busi_split42_wave,modification,busi_split42_wave,2,130,0.45643047067520454,36.8339304075004,0.6563342809802735
busi_split43_aug,baseline,busi_split43_wave,2,130,0.4601668436567827,31.415247108595683,0.6677520836586934
busi_split43_wave,modification,busi_split43_wave,2,130,0.4568673528454754,32.66393217842736,0.6748686348750182
busi_split41_aug,baseline,busi_split41_bnd,2,130,0.46707103783735754,33.39367821290928,0.6790179153487461
busi_split41_bnd,modification,busi_split41_bnd,2,130,0.48028097913006607,32.143067381624284,0.6791845276890672
busi_split42_aug,baseline,busi_split42_bnd,2,130,0.49462207836271416,33.123943325374825,0.6706243003356775
busi_split42_bnd,modification,busi_split42_bnd,2,130,0.4945900808164135,35.68687364531801,0.6767023116733138
busi_split43_aug,baseline,busi_split43_bnd,2,130,0.4601668436567827,31.415247108595683,0.6677520836586934
busi_split43_bnd,modification,busi_split43_bnd,2,130,0.4636456573928286,30.728143676378988,0.6767727337072498
