run,arch,n,clean_rate,mean_fp,median_fp,worst_fp,fp_fraction
busi_UNext,UNext,133,0.24060150375939848,2205.0676691729323,927.0,14884,0.03364666243244831
busi_UNext_512,UNext,133,0.7293233082706767,1111.9473684210527,0.0,35270,0.016966970343338817
busi_UNext_SE,UNext_SE,133,0.22556390977443608,1782.609022556391,946.0,10434,0.027200455056097275
busi_split41,UNext,133,0.18045112781954886,2389.1353383458645,1124.0,13722,0.036455312169584114
busi_split41_aug,UNext,133,0.015037593984962405,3945.406015037594,3390.0,15724,0.06020211814937735
busi_split41_aug_s101,UNext,133,0.07518796992481203,3653.6090225563908,2140.0,17335,0.05574964939203477
busi_split41_bnd,UNext_Boundary,133,0.08270676691729323,3237.8195488721803,2088.0,15971,0.04940520551867951
busi_split41_bndf,UNext_Boundary,133,0.022556390977443608,3892.1428571428573,3229.0,14570,0.05938938685825893
busi_split41_cont,UNext,133,0.015037593984962405,3433.466165413534,2439.0,17099,0.052390535971275846
busi_split41_ftl,UNext,133,0.007518796992481203,3674.8571428571427,2819.0,17402,0.05607386997767857
busi_split41_ftl_s101,UNext,133,0.09022556390977443,3036.593984962406,1983.0,19274,0.04633474708499765
busi_split41_wave,UNext_Wave,133,0.15789473684210525,2584.90977443609,1148.0,15241,0.039442592993714755
busi_split41_wave_s101,UNext_Wave,133,0.15789473684210525,2813.1804511278197,1541.0,16771,0.04292572709850799
busi_split42,UNext,133,0.3007518796992481,1654.3233082706768,315.0,14928,0.02524297040207942
busi_split42_aug,UNext,133,0.022556390977443608,3968.8872180451126,3109.0,14260,0.06056041287300282
busi_split42_aug_s101,UNext,133,0.12030075187969924,3275.2330827067667,2017.0,18746,0.04997609073954417
busi_split42_bnd,UNext_Boundary,133,0.0,5994.0,5235.0,28686,0.091461181640625
busi_split42_bndf,UNext_Boundary,133,0.015037593984962405,4131.443609022556,2796.0,14963,0.06304082655368891
busi_split42_cont,UNext,133,0.007518796992481203,4572.586466165413,3472.0,19393,0.06977213235726033
busi_split42_ftl,UNext,133,0.15789473684210525,2391.93984962406,1630.0,17028,0.0364981056156015
busi_split42_ftl_s101,UNext,133,0.2556390977443609,1944.563909774436,559.0,20210,0.029671690517798402
busi_split42_wave,UNext_Wave,133,0.09022556390977443,3568.5112781954886,2767.0,16070,0.054451160861137216
busi_split43,UNext,133,0.17293233082706766,2493.5413533834585,1146.0,14466,0.038048421529898964
busi_split43_SEft,UNext_SE,133,0.045112781954887216,2614.7669172932333,1584.0,13952,0.03989817683858083
busi_split43_SkipFt,UNext_SkipFusion,133,0.07518796992481203,2613.3909774436092,1497.0,13797,0.03987718166265273
busi_split43_aug,UNext,133,0.045112781954887216,2634.5187969924814,1584.0,14006,0.04019956660449953
busi_split43_bnd,UNext_Boundary,133,0.045112781954887216,3735.7368421052633,2266.0,17389,0.05700282046669408
busi_split43_bndf,UNext_Boundary,133,0.022556390977443608,2267.1654135338345,1661.0,13132,0.03459419881490836
busi_split43_cont,UNext,133,0.015037593984962405,3279.684210526316,2188.0,16508,0.050044009560032895
busi_split43_ftl,UNext,133,0.022556390977443608,3872.9548872180453,2808.0,17392,0.05909660167263863
busi_split43_wave,UNext_Wave,133,0.18796992481203006,2533.6015037593984,1467.0,14501,0.03865969091429746
