run,precision,recall,precision_per_image,recall_per_image,n
busi_split41_aug,0.8154586086560601,0.7262065461189839,0.8017384439603619,0.787693439827617,130
busi_split41_aug_s101,0.8305273467103499,0.7312262296428224,0.7978255631654377,0.7786037251234488,130
busi_split41_ftl,0.829206723458242,0.7346663552888885,0.7990989176307804,0.8144119207712637,130
busi_split41_ftl_s101,0.801943691448252,0.7493301956034142,0.7667938893627358,0.8092013714231349,130
busi_split42_aug,0.7857741682629167,0.7664555215461697,0.7765728502857404,0.8256542282898561,130
busi_split42_aug_s101,0.8098589192062414,0.7656732212795799,0.7966634774812171,0.8142476688332133,130
busi_split42_ftl,0.7929256458997709,0.7714467997842978,0.7742180963747642,0.8121330080377077,130
busi_split42_ftl_s101,0.8060107440856449,0.7690138206380431,0.7779581181037553,0.8186647606436472,130
busi_split43_aug,0.8102914516803793,0.7653601920823726,0.7928556554419126,0.7881817485585093,130
busi_split43_aug_s101,0.7769052427802317,0.8024795586320403,0.7854379317206808,0.8247594056632142,130
busi_split43_ftl,0.7600471477978487,0.8355934457159058,0.7509718272066657,0.8536435524547248,130
busi_split43_ftl_s101,0.7662718199998559,0.8007885513285948,0.770695460169099,0.8274802098157982,130
