run,arch,dataset,epochs,params,gflops,best_val_iou,best_epoch,eval_iou,eval_dice_from_iou,eval_iou_per_image,eval_dice_per_image,gpu_ms,cpu_ms,train_min
busi_UNext,UNext,busi,400,1471921,0.577,0.5974613095992741,80.0,0.5975,0.7369,0.6336,0.7288,4.6,12.51,55.5
busi_UNext_512,UNext,busi,500,1471921,2.309,0.5955790798870202,229.0,0.5956,0.7326,0.6192,0.7087,4.04,35.44,123.2
busi_UNext_SE,UNext_SE,busi,400,1480081,0.577,0.5952636908604669,84.0,0.5953,0.7341,0.6265,0.7218,5.14,14.08,58.4
busi_split41,UNext,busi,400,1471921,0.577,,,0.6016,0.739,0.6394,0.7334,4.54,13.27,
busi_split41_aug,UNext,busi,400,1471921,0.577,0.6215076930024717,390.0,0.6215,0.7581,0.679,0.7726,3.62,31.45,44.8
busi_split41_aug_s101,UNext,busi,400,1471921,0.577,0.6342133832715672,353.0,0.6342,0.7652,0.678,0.7683,3.92,25.6,111.7
busi_split41_bnd,UNext_Boundary,busi,100,1602049,0.672,0.6269069667431705,73.0,0.6269,0.76,0.6792,0.7682,5.13,63.28,28.9
busi_split41_bndf,UNext_Boundary,busi,100,1602049,0.672,0.6218430383431418,9.0,0.6218,0.7598,0.6743,0.769,4.7,28.91,27.6
busi_split41_cont,UNext,busi,100,1471921,0.577,0.6192385045394269,93.0,0.6192,0.7555,0.6832,0.7751,3.89,77.19,28.1
busi_split41_ftl,UNext,busi,400,1471921,0.577,0.6397059043539866,221.0,0.6397,0.7721,0.6866,0.7811,3.58,14.13,114.8
busi_split41_ftl_s101,UNext,busi,400,1471921,0.577,0.6321099283091907,305.0,0.6321,0.765,0.6705,0.762,4.02,62.16,118.1
busi_split41_wave,UNext_Wave,busi,400,1493041,0.525,0.6246066209514222,371.0,0.6246,0.7586,0.6629,0.7555,3.76,73.53,112.2
busi_split41_wave_s101,UNext_Wave,busi,400,1493041,0.525,0.6172318205166276,327.0,0.6172,0.7533,0.6515,0.7424,3.49,23.66,112.4
busi_split42,UNext,busi,150,1471921,0.577,0.5692109547716375,95.0,0.5692,0.7116,0.5974,0.6918,3.67,13.22,20.3
busi_split42_aug,UNext,busi,400,1471921,0.577,0.630564114008489,282.0,0.6306,0.7631,0.6706,0.7655,23.72,48.25,132.0
busi_split42_aug_s101,UNext,busi,400,1471921,0.577,0.64648313376851,283.0,0.6465,0.7788,0.6767,0.7757,4.2,17.45,119.1
busi_split42_bnd,UNext_Boundary,busi,100,1602049,0.672,0.6314265591713925,55.0,0.6314,0.7635,0.6767,0.7727,5.08,71.99,28.8
busi_split42_bndf,UNext_Boundary,busi,100,1602049,0.672,0.6230518727561412,42.0,0.623,0.7573,0.6677,0.7624,4.84,35.03,27.6
busi_split42_cont,UNext,busi,100,1471921,0.577,0.6263869159394495,52.0,0.6264,0.76,0.6802,0.7747,3.69,68.46,28.3
busi_split42_ftl,UNext,busi,400,1471921,0.577,0.6358696244322708,174.0,0.6359,0.7651,0.6673,0.7565,3.68,12.72,122.3
busi_split42_ftl_s101,UNext,busi,400,1471921,0.577,0.6419373341109548,342.0,0.642,0.7725,0.6723,0.7653,3.83,49.24,115.5
busi_split42_wave,UNext_Wave,busi,400,1493041,0.525,0.6225519302549992,114.0,0.6225,0.761,0.6563,0.7539,3.45,15.6,112.4
busi_split43,UNext,busi,150,1471921,0.577,0.608476699748354,93.0,0.6085,0.7525,0.6333,0.7339,3.6,12.62,19.8
busi_split43_SEft,UNext_SE,busi,100,1480081,0.577,,,0.6468,0.7801,0.6678,0.762,4.91,19.4,
busi_split43_SkipFt,UNext_SkipFusion,busi,100,1558785,0.641,0.6485043671932319,72.0,0.6485,0.7811,0.6735,0.7652,8.7,41.11,35.8
busi_split43_aug,UNext,busi,400,1471921,0.577,0.6463782721393306,331.0,0.6464,0.7798,0.6678,0.7619,4.2,22.37,124.5
busi_split43_aug_s101,UNext,busi,400,1471921,0.577,0.6493532539005898,397.0,0.6494,0.7817,0.6805,0.7737,3.64,32.7,124.7
busi_split43_bnd,UNext_Boundary,busi,100,1602049,0.672,0.6446935485505823,92.0,0.6447,0.7778,0.6767,0.7682,5.42,84.67,29.2
busi_split43_bndf,UNext_Boundary,busi,100,1602049,0.672,0.643291915684369,47.0,0.6433,0.7775,0.6654,0.758,5.12,23.14,27.9
busi_split43_cont,UNext,busi,100,1471921,0.577,0.6451711329434425,85.0,0.6452,0.7786,0.6764,0.7704,3.73,85.81,28.6
busi_split43_ftl,UNext,busi,400,1471921,0.577,0.6628724073608655,375.0,0.6629,0.7906,0.6772,0.7732,5.15,66.74,128.3
busi_split43_ftl_s101,UNext,busi,400,1471921,0.577,0.6441916566229723,391.0,0.6442,0.7771,0.6746,0.7688,4.29,49.72,115.1
busi_split43_wave,UNext_Wave,busi,400,1493041,0.525,0.6471183577197982,318.0,0.6471,0.7811,0.6749,0.7665,3.83,58.5,111.8
